City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Kiama,AU,-34.6833,150.8667,80.01,62,0,5.99,1616546614
Kautokeino,NO,69.0125,23.0412,17.51,89,87,7.85,1616546614
Ikot Ekpene,NG,5.1794,7.7108,76.51,89,100,2.68,1616546615
Alice Springs,AU,-23.7,133.8833,73.4,73,9,5.75,1616546615
Las Lomas,PA,8.4333,-82.4,84.2,70,40,8.05,1616546615
Auki,SB,-8.7676,160.7034,87.78,61,74,2.73,1616546616
Nānākuli,US,21.3906,-158.1547,78.8,78,75,8.05,1616546616
Qeshm,IR,26.9581,56.2719,68.0,77,20,4.61,1616546616
Mikkeli,FI,61.6886,27.2723,41.0,70,0,4.61,1616546617
Tokmak,UA,47.2514,35.7058,30.56,77,100,8.25,1616546617
Anchorage,US,61.2181,-149.9003,30.99,47,1,6.91,1616546525
Ondangwa,NA,-17.9167,15.95,73.36,68,100,9.31,1616546617
Avera,US,33.194,-82.5271,66.2,72,1,7.14,1616546320
Bilbor,RO,47.05,25.5167,19.0,76,79,4.05,1616546618
Glendive,US,47.1053,-104.7125,37.4,65,75,24.16,1616546618
Pringsewu,ID,-5.3582,104.9744,77.72,84,96,1.36,1616546618
Narsaq,GL,60.9167,-46.05,19.4,45,75,5.75,1616546426
Airai,TL,-8.9266,125.4092,71.53,68,33,1.59,1616546619
Majene,ID,-3.5403,118.9707,83.43,70,73,1.63,1616546523
Esim,GH,4.8699,-2.2405,78.82,85,100,6.42,1616546619
Yangi Marg`ilon,UZ,40.4272,71.7189,46.4,71,4,4.61,1616546619
Ulverstone,AU,-41.15,146.1667,60.01,90,100,14.0,1616546620
Kemijärvi,FI,66.7131,27.4306,28.53,97,100,7.54,1616546620
Kāsaragod,IN,12.5,75.0,80.6,89,20,3.76,1616546620
Biak,ID,-0.9131,122.8766,81.77,70,100,0.34,1616546621
Igarka,RU,67.4667,86.5833,13.98,94,100,18.59,1616546621
Aberdeen,GB,57.1437,-2.0981,42.8,75,100,11.5,1616546509
Ixtapa,MX,20.7,-105.2,77.0,57,40,12.66,1616546479
Muhos,FI,64.808,25.9931,42.8,70,0,8.05,1616546622
Ilulissat,GL,69.2167,-51.1,-5.8,71,75,10.36,1616546622
Ugoofaaru,MV,5.6667,73.0,83.32,67,78,3.94,1616546622
Ibrā’,OM,22.6906,58.5334,67.44,34,0,1.61,1616546622
Katsuura,JP,35.1333,140.3,59.0,62,20,5.75,1616546383
Fomboni,KM,-12.28,43.7425,82.0,73,14,0.72,1616546623
Topolobampo,MX,25.6,-109.05,75.99,23,75,8.05,1616546623
Ekenäs,FI,59.9736,23.4339,35.01,94,100,11.81,1616546624
Līsakovsk,KZ,52.5369,62.4936,23.05,89,100,10.58,1616546624
Quelimane,MZ,-17.8786,36.8883,77.0,88,75,5.75,1616546624
Aklavik,CA,68.2191,-135.0107,6.8,56,100,4.61,1616546624
Ribas do Rio Pardo,BR,-20.4431,-53.7592,77.97,64,99,5.03,1616546625
Lang Son,VN,21.8333,106.7333,63.86,65,100,1.39,1616546625
Belyy Yar,RU,53.6039,91.3903,28.4,93,0,2.08,1616546625
Goderich,CA,43.7501,-81.7165,60.8,31,100,6.91,1616546626
Shingū,JP,33.7333,135.9833,59.0,63,75,6.91,1616546626
Nishihara,JP,26.1842,127.7558,68.0,64,75,9.22,1616546626
Setermoen,NO,68.861,18.3486,32.0,100,90,2.3,1616546626
Ambilobe,MG,-13.2,49.05,72.48,96,12,2.55,1616546627
Aguçadoura,PT,41.4318,-8.7804,50.0,93,20,7.11,1616546627
Makhachkala,RU,42.9764,47.5024,42.8,100,75,8.95,1616546628
Cap Malheureux,MU,-19.9842,57.6142,77.0,87,8,4.0,1616546628
Hillsborough,US,37.5741,-122.3794,64.99,27,20,24.16,1616546628
Mamou,GN,10.5,-12.0,78.04,50,100,3.38,1616546629
Severnoye,RU,56.3491,78.3619,23.99,96,100,9.55,1616546378
Zhangjiakou,CN,40.81,114.8794,45.1,41,0,5.28,1616546629
Katherine,AU,-14.4667,132.2667,86.0,70,40,9.22,1616546629
Kibaya,TZ,-5.3,36.5667,59.54,96,83,3.13,1616546630
Pemangkat,ID,1.1667,108.9667,75.92,92,100,9.04,1616546630
Kokstad,ZA,-30.5472,29.4241,52.84,95,90,3.76,1616546377
Jieshi,CN,22.8134,115.8257,64.0,72,51,2.68,1616546630
Khorixas,NA,-20.3667,14.9667,69.01,86,100,1.88,1616546631
Broome,US,42.2506,-75.833,57.2,33,1,5.75,1616546631
Mount Isa,AU,-20.7333,139.5,77.0,83,90,9.22,1616546631
Manokwari,ID,-0.8667,134.0833,83.7,65,90,2.51,1616546632
Gouyave,GD,12.1646,-61.7296,78.8,73,20,23.02,1616546632
Codrington,AU,-38.2667,141.9667,62.44,95,100,12.75,1616546632
Victor Harbor,AU,-35.5667,138.6167,68.0,74,72,14.43,1616546632
Manjacaze,MZ,-24.7117,33.8828,67.3,91,61,4.12,1616546633
Bentiu,SS,9.2333,29.8333,82.83,51,82,4.72,1616546633
Gweru,ZW,-19.45,29.8167,58.42,92,82,10.04,1616546633
Nyurba,RU,63.2842,118.3319,0.57,92,100,1.03,1616546634
Taltal,CL,-25.4,-70.4833,65.93,83,29,2.19,1616546634
Borovskoy,KZ,53.8,64.15,21.58,91,100,11.39,1616546634
Kavaratti,IN,10.5669,72.642,82.94,70,12,4.05,1616546635
Sur,OM,22.5667,59.5289,77.61,37,0,9.6,1616546635
Aktobe,KZ,50.2797,57.2072,26.6,86,0,13.42,1616546635
Bafra,TR,41.5678,35.9069,43.0,87,75,6.91,1616546636
Hrubieszów,PL,50.805,23.8925,26.26,80,3,5.3,1616546636
Noumea,NC,-22.2763,166.4572,86.0,58,0,5.75,1616546350
Labuhan,ID,-6.8844,112.2051,80.19,81,95,5.97,1616546636
Bocas del Toro,PA,9.3333,-82.25,66.0,76,25,1.88,1616546637
Scarborough,GB,54.2797,-0.4044,48.0,77,100,5.01,1616546627
Skagen,DK,57.7209,10.5839,42.01,91,60,14.0,1616546637
Dekar,BW,-21.5333,21.9333,67.87,81,97,4.74,1616546637
Tilichiki,RU,60.4667,166.1,17.02,70,95,13.82,1616546638
Arman',RU,59.7,150.1667,17.47,89,100,16.31,1616546638
La Santisima Trinidad,BO,-14.8333,-64.9,73.09,95,98,3.13,1616546638
Puebloviejo,CO,10.9938,-74.2844,84.2,70,75,9.22,1616546639
Bekovo,RU,52.4663,43.712,23.31,94,40,11.52,1616546639
Dingzhou,CN,38.5131,114.9956,51.8,71,100,4.47,1616546639
Colares,PT,38.7992,-9.4469,53.01,82,0,10.36,1616546640
Witu,KE,-2.3889,40.4382,80.6,83,40,4.61,1616546640
Thunder Bay,CA,48.4001,-89.3168,43.0,81,75,4.61,1616546640
Alberton,CA,46.8168,-64.0654,53.6,32,97,14.97,1616546641
Haines Junction,CA,60.7522,-137.5108,28.4,31,100,4.61,1616546641
Dhārchula,IN,29.85,80.5333,55.85,52,100,6.35,1616546641
Pengcheng,CN,36.4311,114.17,61.47,28,100,3.33,1616546641
Constantine,DZ,36.365,6.6147,37.4,93,20,3.44,1616546642
Strezhevoy,RU,60.7333,77.5889,12.2,79,0,6.71,1616546642
Chipinge,ZW,-20.1883,32.6236,56.86,95,12,2.01,1616546642
Hirado,JP,33.3597,129.5531,53.6,76,75,11.5,1616546425
Vila do Maio,CV,15.1333,-23.2167,68.0,77,20,19.57,1616546643
Sechura,PE,-5.5569,-80.8222,76.78,67,94,17.52,1616546643
Itupiranga,BR,-5.1347,-49.3267,73.85,96,100,2.55,1616546644
Vila Velha,BR,-20.3297,-40.2925,78.8,83,40,4.61,1616546644
Mackay,AU,-21.15,149.2,89.01,70,40,10.36,1616546644
Lewiston,US,44.1003,-70.2148,46.4,76,1,5.75,1616546580
Saint-François,FR,46.4154,3.9054,35.01,93,0,2.68,1616546645
Praia da Vitória,PT,38.7333,-27.0667,55.4,71,40,9.86,1616546645
North Platte,US,41.1239,-100.7654,39.2,81,90,21.85,1616546645
Bosaso,SO,11.2842,49.1816,75.92,46,5,9.78,1616546646
Monte Azul,BR,-15.155,-42.8747,70.97,53,47,5.84,1616546646
Mahenge,TZ,-8.6833,36.7167,62.37,96,48,1.39,1616546646
Necochea,AR,-38.5473,-58.7368,63.0,74,0,1.01,1616546359
Delta del Tigre,UY,-34.7633,-56.3853,69.8,78,0,8.05,1616546647
Kano,NG,12.0001,8.5167,77.0,53,0,3.44,1616546647
Parangan,PH,5.0839,119.9383,81.39,76,100,1.68,1616546647
Savannakhet,LA,16.566,104.751,66.2,82,40,2.3,1616546648
Ko Samui,TH,9.5357,99.9357,82.92,73,100,8.46,1616546648
Saint-Pierre,RE,-21.3393,55.4781,77.0,83,0,4.61,1616546648
Vardø,NO,70.3705,31.1107,32.86,69,8,32.86,1616546649
Tarpa,HU,48.1048,22.5374,32.0,74,4,10.36,1616546649
Marzuq,YE,14.4,46.4667,64.76,18,0,5.01,1616546649
Helena,US,46.5927,-112.0361,43.0,38,1,3.44,1616546600
Sursee,CH,47.1667,8.1,34.0,86,1,2.46,1616546650
Guiratinga,BR,-16.3494,-53.7583,71.35,83,98,3.4,1616546650
Atbasar,KZ,51.8,68.3333,9.63,97,76,9.62,1616546651
Khovd,MN,48.0056,91.6419,36.48,21,100,5.3,1616546651
Plattsburgh,US,44.6995,-73.4529,53.6,26,1,4.14,1616546651
Baoqing,CN,46.3317,132.2111,32.13,33,100,4.68,1616546652
Buraidah,SA,26.326,43.975,73.4,28,0,11.5,1616546652
Cochrane,CA,51.1834,-114.4687,39.0,52,1,16.11,1616546460
Kharp,RU,66.8014,65.8081,12.25,89,99,7.83,1616546652
Kismayo,SO,-0.3582,42.5454,80.11,79,44,10.33,1616546653
Kirensk,RU,57.7853,108.1119,25.68,94,100,4.21,1616546653
Berlevåg,NO,70.8578,29.0864,33.03,73,36,39.26,1616546653
Zhigansk,RU,66.7697,123.3711,-19.89,93,26,8.61,1616546654
Brae,GB,60.3964,-1.353,42.8,81,20,36.82,1616546654
Cueto,CU,20.6439,-75.9356,77.0,83,20,11.5,1616546654
Waingapu,ID,-9.6567,120.2641,82.89,69,39,3.0,1616546655
Mansehra,PK,34.3333,73.2,47.98,94,100,4.54,1616546655
Xingyi,CN,24.1877,102.817,55.02,81,92,3.98,1616546655
Makakilo City,US,21.3469,-158.0858,78.8,65,75,9.22,1616546656
Aurād,IN,18.25,77.4333,74.79,43,15,10.25,1616546656
Roald,NO,62.5833,6.1333,46.4,61,90,24.16,1616546656
Aswān,EG,24.0934,32.907,74.86,28,0,21.18,1616546657
Dandeli,IN,15.2667,74.6167,71.6,46,4,4.61,1616546657
Belaya Gora,RU,68.5333,146.4167,-4.92,89,100,10.42,1616546657
Eyl,SO,7.9803,49.8164,73.42,73,9,6.85,1616546657
Porto Walter,BR,-8.2686,-72.7439,71.64,98,46,2.13,1616546658
Bulancak,TR,40.9372,38.2291,41.0,100,75,4.61,1616546658
Dūngarpur,IN,23.8333,73.7167,74.62,23,0,3.85,1616546658
Lobva,RU,59.1854,60.5185,22.28,90,37,7.99,1616546659
Port Elizabeth,ZA,-33.918,25.5701,68.0,83,0,12.66,1616546654
Bonthe,SL,7.5264,-12.505,77.58,84,100,5.46,1616546659
Grand Baie,MU,-20.0182,57.5802,77.0,87,10,3.0,1616546660
Sørland,NO,67.667,12.6934,42.33,90,100,36.69,1616546660
Chapais,CA,49.7834,-74.8492,41.0,36,75,5.75,1616546660
Sovetskiy,RU,61.3614,63.5842,14.41,94,90,5.57,1616546661
Pangkalanbuun,ID,-2.6833,111.6167,77.94,88,87,2.57,1616546661
Dukat,RU,62.55,155.55,-3.39,84,95,3.91,1616546661
Iquique,CL,-20.2208,-70.1431,69.8,56,0,14.97,1616546451
Abu Kamal,SY,34.4506,40.9171,66.09,63,90,1.9,1616546662
Kloulklubed,PW,7.0419,134.2556,82.4,83,75,12.66,1616546662
Oddur,SO,4.1213,43.8894,70.32,72,45,15.17,1616546662
Vanderhoof,CA,54.0166,-124.0198,42.21,69,100,9.31,1616546663
Mehamn,NO,71.0357,27.8492,32.65,73,90,36.73,1616546663
Ucluelet,CA,48.9329,-125.5528,46.99,81,90,9.22,1616546523
Mareeba,AU,-17.0,145.4333,91.0,66,44,10.36,1616546663
Dhidhdhoo,MV,6.8833,73.1,83.62,71,55,5.41,1616546664
Touros,BR,-5.1989,-35.4608,78.8,83,75,3.44,1616546664
Machilipatnam,IN,16.1667,81.1333,75.2,78,1,2.15,1616546664
Ketchikan,US,55.3422,-131.6461,44.6,100,90,9.22,1616546665
Pimenta Bueno,BR,-11.6725,-61.1936,72.64,97,100,2.01,1616546665
Puerto Colombia,CO,10.9878,-74.9547,78.8,83,40,9.22,1616546665
Daru,PG,-9.0763,143.2092,85.89,70,87,2.86,1616546666
Tianpeng,CN,30.9866,103.9393,51.8,93,0,5.73,1616546666
Husavik,IS,66.0449,-17.3389,32.0,86,90,6.91,1616546666
St. George's,GD,12.0564,-61.7485,78.8,73,20,23.02,1616546667
Gijang,KR,35.2442,129.2139,55.4,47,0,1.14,1616546667
Qaqortoq,GL,60.7167,-46.0333,19.4,45,75,5.75,1616546667
Amreli,IN,21.6167,71.2333,77.0,49,0,6.35,1616546668
Tiarei,PF,-17.5333,-149.3333,89.6,62,75,18.41,1616546668
Koslan,RU,63.4564,48.8989,24.26,93,100,12.5,1616546668
Batemans Bay,AU,-35.7167,150.1833,75.99,67,2,5.01,1616546669
Miyako,JP,39.6367,141.9525,54.16,45,31,7.52,1616546669
Vershino-Shakhtaminskiy,RU,51.3012,117.8868,26.85,76,11,3.51,1616546669
Marawi,PH,7.9986,124.2928,82.0,75,98,4.0,1616546670
Oodweyne,SO,9.4092,45.064,65.73,34,0,6.73,1616546670
Tiksi,RU,71.6872,128.8694,-19.5,99,100,2.71,1616546670
Krasnystaw,PL,50.9846,23.1742,28.4,100,17,3.06,1616546670
Harar,ET,9.3094,42.1258,58.14,28,1,2.98,1616546671
Santa Maria,BR,-29.6842,-53.8069,69.8,100,90,6.91,1616546671
Longview,US,32.5007,-94.7405,71.6,35,1,6.91,1616546587
Soyo,AO,-6.1349,12.3689,79.68,86,100,10.85,1616546671
Faya,SA,18.3851,42.4509,59.0,33,0,3.98,1616546672
Hay River,CA,60.8156,-115.7999,5.0,72,97,8.05,1616546672
Walvis Bay,NA,-22.9575,14.5053,64.4,82,18,3.44,1616546672
Tamworth,GB,52.634,-1.6959,45.0,88,96,5.99,1616546469
